Titulo,Autor,Precio,Precio_socio,Link
El color de las mareas,Mikel Alvira Palacios,23.0,21.85,https://www.elkar.eus/es/liburu_fitxa/color-de-las-mareas-el/alvira-palacios-mikel/9788471485922
Bioklik,Asel Luzarraga Zarrabeitia,25.0,23.75,https://www.elkar.eus/es/liburu_fitxa/bioklik/luzarraga-zarrabeitia-asel/9788490278154
"Tretatxu, Lapurren Gobernadorea",Hector Ortega Lahera,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/tretatxu-lapurren-gobernadorea/ortega-lahera-hector/9788471485960
La bruja,Camilla Lackberg,24.0,22.8,https://www.elkar.eus/es/liburu_fitxa/bruja-la/lackberg-camilla/9788417108359
Zenbakiak Asmatzen,Gianni Rodari / Alessanso Sanna (il. ),15.0,14.25,https://www.elkar.eus/es/liburu_fitxa/zenbakiak-asmatzen/rodari-gianni/sanna-alessanso-il/9788491720126
Donde Mis Pies Me Lleven,Erika Ramos,17.9,17.01,https://www.elkar.eus/es/liburu_fitxa/donde-mis-pies-me-lleven/ramos-erika/9788417001308
Zaldi Mamarroa (xix. Igartza Saria),Ekaitz Goienetxea Cereceda,22.5,21.38,https://www.elkar.eus/es/liburu_fitxa/zaldi-mamarroa-xix-igartza-saria/goienetxea-cereceda-ekaitz/9788490278031
Toda La Verdad,Karen Cleveland,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/toda-la-verdad/cleveland-karen/9788408182412
"Columna De Fuego, Una - Los Pilares De La Tierra 3",Ken Follett,24.9,23.66,https://www.elkar.eus/es/liburu_fitxa/columna-de-fuego-una-los-pilares-de-la-tierra-3/follett-ken/9788401018251
La jaula de sal,Ibon Martin,18.5,17.58,https://www.elkar.eus/es/liburu_fitxa/jaula-de-sal-la/martin-ibon/9788494629761
Arbasoen Ituna,Toti Martinez De Lezea,22.0,20.9,https://www.elkar.eus/es/liburu_fitxa/arbasoen-ituna/martinez-de-lezea-toti/9788491092353
Ez Duzu Abusatuko - Pederastia Kasuak Euskal Herriko Elizan,Alberto Barandiaran / Iñigo Astiz / Miren Rubio,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/ez-duzu-abusatuko-pederastia-kasuak-euskal-herriko-elizan/barandiaran-alberto/astiz-inigo/rubio-miren/9788490277898
El color de las mareas,Mikel Alvira Palacios,23.0,21.85,https://www.elkar.eus/es/liburu_fitxa/color-de-las-mareas-el/alvira-palacios-mikel/9788471485922
Bioklik,Asel Luzarraga Zarrabeitia,25.0,23.75,https://www.elkar.eus/es/liburu_fitxa/bioklik/luzarraga-zarrabeitia-asel/9788490278154
"Tretatxu, Lapurren Gobernadorea",Hector Ortega Lahera,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/tretatxu-lapurren-gobernadorea/ortega-lahera-hector/9788471485960
La bruja,Camilla Lackberg,24.0,22.8,https://www.elkar.eus/es/liburu_fitxa/bruja-la/lackberg-camilla/9788417108359
Zenbakiak Asmatzen,Gianni Rodari / Alessanso Sanna (il. ),15.0,14.25,https://www.elkar.eus/es/liburu_fitxa/zenbakiak-asmatzen/rodari-gianni/sanna-alessanso-il/9788491720126
Donde Mis Pies Me Lleven,Erika Ramos,17.9,17.01,https://www.elkar.eus/es/liburu_fitxa/donde-mis-pies-me-lleven/ramos-erika/9788417001308
Zaldi Mamarroa (xix. Igartza Saria),Ekaitz Goienetxea Cereceda,22.5,21.38,https://www.elkar.eus/es/liburu_fitxa/zaldi-mamarroa-xix-igartza-saria/goienetxea-cereceda-ekaitz/9788490278031
Toda La Verdad,Karen Cleveland,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/toda-la-verdad/cleveland-karen/9788408182412
"Columna De Fuego, Una - Los Pilares De La Tierra 3",Ken Follett,24.9,23.66,https://www.elkar.eus/es/liburu_fitxa/columna-de-fuego-una-los-pilares-de-la-tierra-3/follett-ken/9788401018251
La jaula de sal,Ibon Martin,18.5,17.58,https://www.elkar.eus/es/liburu_fitxa/jaula-de-sal-la/martin-ibon/9788494629761
Arbasoen Ituna,Toti Martinez De Lezea,22.0,20.9,https://www.elkar.eus/es/liburu_fitxa/arbasoen-ituna/martinez-de-lezea-toti/9788491092353
Ez Duzu Abusatuko - Pederastia Kasuak Euskal Herriko Elizan,Alberto Barandiaran / Iñigo Astiz / Miren Rubio,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/ez-duzu-abusatuko-pederastia-kasuak-euskal-herriko-elizan/barandiaran-alberto/astiz-inigo/rubio-miren/9788490277898
Rocka Puntua!,Alberto Irazu,18.0,17.1,https://www.elkar.eus/es/liburu_fitxa/rocka-puntua/irazu-alberto/9788491720140
Elurra Ikusi Dut,Xabier Lete Bergaretxe,21.0,19.95,https://www.elkar.eus/es/liburu_fitxa/elurra-ikusi-dut/lete-bergaretxe-xabier/9788490275887
"(lib+cd) Antzinako Zuhaitza - Pirritx, Porrotx Eta Marimotots",Joan Mari Irigoien / Porrotx Eta Marimotots Pirritx,15.0,14.25,https://www.elkar.eus/es/liburu_fitxa/lib-cd-antzinako-zuhaitza-pirritx-porrotx-eta-marimotots/irigoien-joan-mari/pirritx-porrotx-eta-marimotots/8437006662796
Cuando Los Tontos Mandan,Javier Marias,18.9,17.96,https://www.elkar.eus/es/liburu_fitxa/cuando-los-tontos-mandan/marias-javier/9788420432311
Berta Isla,Javier Marias,21.9,20.81,https://www.elkar.eus/es/liburu_fitxa/berta-isla/marias-javier/9788420427362
Jenisjoplin,Uxue Alberdi,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/jenisjoplin/alberdi-uxue/9788417051020
La buena hija,Karin Slaughter,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/buena-hija-la/slaughter-karin/9788491391654
Itzulera,Martin Bidaur,13.5,12.83,https://www.elkar.eus/es/liburu_fitxa/itzulera/bidaur-martin/9788417051013
Nork Agintzen Du Borobilean,Uxue Alberdi Estibaritz / Julen Tokero Alvarez (il. ),7.5,7.13,https://www.elkar.eus/es/liburu_fitxa/nork-agintzen-du-borobilean/alberdi-estibaritz-uxue/tokero-alvarez-julen-il/9788490277324
Lobos De Nuestro Escudo,Pedro Zarrabeitia Miñaur,18.85,17.91,https://www.elkar.eus/es/liburu_fitxa/lobos-de-nuestro-escudo/zarrabeitia-minaur-pedro/9788471485823
Haizeari Begira,Jon Ariza De Miguel,15.05,14.3,https://www.elkar.eus/es/liburu_fitxa/haizeari-begira/ariza-de-miguel-jon/9788490277416
Tigre Batekin Bizi,Harkaitz Cano Jauregi / Maite Gurrutxaga Otamendi (il),13.0,12.35,https://www.elkar.eus/es/liburu_fitxa/tigre-batekin-bizi/cano-jauregi-harkaitz/gurrutxaga-otamendi-maite-il/9788490277423
Alexis Zorbaren Hitzak Eta Egintzak,Nikos Kazantzakis,25.0,23.75,https://www.elkar.eus/es/liburu_fitxa/alexis-zorbaren-hitzak-eta-egintzak/kazantzakis-nikos/9788490275788
Labur Txintan,Juan Kruz Igerabide Sarasola,13.0,12.35,https://www.elkar.eus/es/liburu_fitxa/labur-txintan/igerabide-sarasola-juan-kruz/9788491720034
El sacrificio de los peces,Carlos Egia Ossorio,22.4,21.28,https://www.elkar.eus/es/liburu_fitxa/sacrificio-de-los-peces-el/egia-ossorio-carlos/9788471485816
Pintto Eta Rock-A,Magali Le Huche,13.75,13.06,https://www.elkar.eus/es/liburu_fitxa/pintto-eta-rock-a/le-huche-magali/9788498437591
Etaren Historia Laburra,Iñaki Egaña Sevilla,17.8,16.91,https://www.elkar.eus/es/liburu_fitxa/etaren-historia-laburra/egana-sevilla-inaki/9788417065119
"Pacientes Del Doctor Garcia, Los - Episodios De Una Guerra Interminable",Almudena Grandes,22.9,21.76,https://www.elkar.eus/es/liburu_fitxa/pacientes-del-doctor-garcia-los-episodios-de-una-guerra-interminable/grandes-almudena/9788490664322
Montessori Para Bebes,Charlot Poussin,17.0,16.15,https://www.elkar.eus/es/liburu_fitxa/montessori-para-bebes/poussin-charlot/9788417002831
Aitak Esan Dit,Astrid Desbordes / Pauline Martin (il. ),12.2,11.59,https://www.elkar.eus/es/liburu_fitxa/aitak-esan-dit/desbordes-astrid/martin-pauline-il/9788498437539
Rutas Botanicas Por Parajes De Ensueño,Jon Benito,17.95,17.05,https://www.elkar.eus/es/liburu_fitxa/rutas-botanicas-por-parajes-de-ensueno/benito-jon/9788482166483
Zukafukamusuka,Judit Ruiz De Munain,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/zukafukamusuka/ruiz-de-munain-judit/9788417065010
Berriak Jaio Ginen,Jon Maia Soria,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/berriak-jaio-ginen/maia-soria-jon/9788494698101
4 3 2 1,Paul Auster,23.9,22.71,https://www.elkar.eus/es/liburu_fitxa/4-3-2-1/auster-paul/9788432232893
Bihotzen Sendagilea,Kristien Aertssen,13.98,13.28,https://www.elkar.eus/es/liburu_fitxa/bihotzen-sendagilea/aertssen-kristien/9788498437683
Millennium 5 - El Hombre Que Perseguia Su Sombra,David Lagercrantz,22.5,21.38,https://www.elkar.eus/es/liburu_fitxa/millennium-5-el-hombre-que-perseguia-su-sombra/lagercrantz-david/9788423352555
De Que Hablo Cuando Hablo De Escribir,Haruki Murakami,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/de-que-hablo-cuando-hablo-de-escribir/murakami-haruki/9788490663998
